transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn
541,01/04/2019,19:17:34,3,12,537,Y,1,1,52,2,5,2.5,N
546,01/04/2019,18:49:48,3,17,128,N,1,1,27,1,3.5,3.5,N
550,01/04/2019,11:12:39,3,17,349,Y,1,1,22,2,4,2,N
554,01/04/2019,17:11:09,3,17,245,N,1,1,25,1,2.2,2.2,N
555,01/04/2019,18:23:47,3,17,244,N,1,1,32,2,6,3,N
558,01/04/2019,13:44:48,3,12,65,Y,1,1,56,1,2.55,2.55,N
562,01/04/2019,13:03:13,3,12,616,N,1,1,43,2,6,3,N
565,01/04/2019,11:45:11,3,12,284,N,1,1,51,2,6,3,N
566,01/04/2019,12:20:16,3,17,384,Y,1,1,60,2,7.5,3.75,N
575,01/04/2019,17:41:55,3,17,269,N,1,1,55,2,8,4,N
575,01/04/2019,17:41:55,3,17,269,N,1,5,71,1,3.75,3.75,N
580,01/04/2019,11:15:17,3,17,736,N,1,1,54,2,5,2.5,N
585,01/04/2019,17:58:05,3,17,385,N,1,1,52,2,5,2.5,N
586,01/04/2019,15:14:19,3,12,25,Y,1,1,26,2,6,3,N
588,01/04/2019,12:45:52,3,17,200,Y,1,1,28,2,4,2,N
590,01/04/2019,16:39:24,3,17,450,Y,1,1,36,1,3.75,3.75,N
591,01/04/2019,16:32:46,3,17,644,N,1,1,51,2,6,3,N
593,01/04/2019,18:18:10,3,17,482,N,1,1,59,1,4.5,4.5,N
599,01/04/2019,12:58:29,3,12,83,N,1,1,41,1,4.25,4.25,N
601,01/04/2019,11:47:57,3,17,199,N,1,1,23,1,2.5,2.5,N
601,01/04/2019,11:47:57,3,17,199,N,1,5,69,1,3.25,3.25,N
602,01/04/2019,16:22:38,3,12,425,N,1,1,22,1,2,2,N
610,01/04/2019,15:30:16,3,12,222,Y,1,1,43,1,3,3,N
611,01/04/2019,11:17:40,3,17,776,N,1,1,51,2,6,3,N
616,01/04/2019,11:30:18,3,12,190,N,1,1,30,2,6,3,N
625,01/04/2019,18:34:46,3,12,729,Y,1,1,25,2,4.4,2.2,N
625,01/04/2019,18:34:46,3,12,729,Y,1,5,77,1,3,3,N
641,01/04/2019,16:48:51,3,12,749,Y,1,1,59,1,4.5,4.5,N
646,01/04/2019,18:16:21,3,12,281,Y,1,1,54,2,5,2.5,N
660,01/04/2019,19:58:29,3,17,362,Y,1,1,55,1,4,4,N
675,01/04/2019,15:29:24,3,17,271,Y,1,1,57,1,3.1,3.1,N
675,01/04/2019,15:29:24,3,17,271,Y,1,5,70,1,3.25,3.25,N
676,01/04/2019,11:09:01,3,12,289,N,1,1,59,1,4.5,4.5,N
677,01/04/2019,14:01:57,3,12,124,Y,1,1,36,2,7.5,3.75,N
684,01/04/2019,11:57:17,3,12,693,Y,1,1,37,2,6,3,N
691,01/04/2019,17:39:57,3,12,602,N,1,1,25,1,2.2,2.2,N
691,01/04/2019,17:39:57,3,12,602,N,1,5,77,1,3,3,N
693,01/04/2019,18:13:19,3,17,376,Y,1,1,60,2,7.5,3.75,N
694,01/04/2019,14:19:10,3,12,251,Y,1,1,60,1,3.75,3.75,N
703,01/04/2019,13:21:23,3,17,459,N,1,1,38,2,7.5,3.75,N
709,01/04/2019,12:30:46,3,17,120,N,1,1,44,2,5,2.5,N
711,01/04/2019,18:34:56,3,12,136,N,1,1,60,2,7.5,3.75,N
724,01/04/2019,13:05:56,3,17,596,Y,1,1,58,1,3.5,3.5,N
725,01/04/2019,19:25:42,3,17,393,N,1,1,55,1,4,4,N
728,01/04/2019,16:31:22,3,17,126,N,1,1,51,2,6,3,N
737,01/04/2019,15:01:21,3,12,162,N,1,1,34,2,4.9,2.45,N
739,01/04/2019,12:46:22,3,17,230,Y,1,1,56,1,2.55,2.55,N
755,01/04/2019,18:43:42,3,12,290,Y,1,1,25,1,2.2,2.2,N
766,01/04/2019,15:09:37,3,12,119,Y,1,1,22,1,2,2,N
770,01/04/2019,17:22:29,3,17,332,N,1,1,58,2,7,3.5,N
771,01/04/2019,16:38:05,3,12,138,Y,1,1,35,1,3.1,3.1,N
777,01/04/2019,14:35:47,3,17,361,N,1,1,55,1,4,4,N
778,01/04/2019,15:10:55,3,17,488,N,1,1,42,1,2.5,2.5,N
780,01/04/2019,14:05:30,3,12,222,Y,1,1,60,1,3.75,3.75,N
782,01/04/2019,18:00:34,3,17,141,Y,1,1,53,1,3,3,N
789,01/04/2019,18:31:25,3,12,505,N,1,1,41,2,8.5,4.25,N
790,01/04/2019,12:42:26,3,17,139,Y,1,1,53,1,3,3,N
793,01/04/2019,13:09:20,3,17,473,N,1,1,26,1,3,3,N
798,01/04/2019,19:29:01,3,17,329,Y,1,1,44,2,5,2.5,N
803,01/04/2019,11:26:24,3,17,600,N,1,1,49,2,6,3,N
807,01/04/2019,16:47:11,3,17,796,N,1,1,26,2,6,3,N
809,01/04/2019,16:51:18,3,12,52,N,1,1,37,2,6,3,N
810,01/04/2019,18:51:41,3,17,702,Y,1,1,28,1,2,2,N
820,01/04/2019,19:21:29,3,12,466,N,1,1,51,1,3,3,N
820,01/04/2019,19:21:29,3,12,466,N,1,5,74,1,3.5,3.5,N
823,01/04/2019,19:32:22,3,17,24,Y,1,1,47,1,3,3,N
828,01/04/2019,11:14:07,3,12,456,Y,1,1,52,1,2.5,2.5,N
831,01/04/2019,19:38:46,3,12,406,N,1,1,55,2,8,4,N
855,01/04/2019,15:12:22,3,12,637,N,1,1,24,1,3,3,N
859,01/04/2019,17:44:28,3,12,209,Y,1,1,27,2,7,3.5,N
859,01/04/2019,17:44:28,3,12,209,Y,1,5,74,1,3.5,3.5,N
861,01/04/2019,13:09:03,3,17,438,Y,1,1,35,1,3.1,3.1,N
869,01/04/2019,16:42:12,3,17,536,Y,1,1,36,2,7.5,3.75,N
873,01/04/2019,19:07:26,3,17,550,Y,1,1,46,1,2.5,2.5,N
873,01/04/2019,19:07:26,3,17,550,Y,1,5,78,1,4.5,4.5,N
889,01/04/2019,16:58:31,3,12,548,N,1,1,45,2,6,3,N
889,01/04/2019,16:58:31,3,12,548,N,1,5,70,1,3.25,3.25,N
891,01/04/2019,12:12:21,3,17,662,Y,1,1,34,2,4.9,2.45,N
891,01/04/2019,12:12:21,3,17,662,Y,1,5,71,1,3.75,3.75,N
901,01/04/2019,15:09:38,3,12,341,Y,1,1,29,1,2.5,2.5,N
901,01/04/2019,15:09:38,3,12,341,Y,1,5,71,1,3.75,3.75,N
902,01/04/2019,13:23:54,3,17,685,N,1,1,58,2,7,3.5,N
917,01/04/2019,19:10:16,3,12,631,Y,1,1,27,2,7,3.5,N
919,01/04/2019,19:06:41,3,17,675,N,1,1,54,1,2.5,2.5,N
921,01/04/2019,11:44:31,3,12,773,N,1,1,56,1,2.55,2.55,N
923,01/04/2019,13:44:26,3,17,740,N,1,1,57,1,3.1,3.1,N
924,01/04/2019,12:58:53,3,17,743,N,1,1,57,2,6.2,3.1,N
932,01/04/2019,15:55:09,3,12,296,N,1,1,44,2,5,2.5,N
944,01/04/2019,19:25:57,3,17,63,Y,1,1,50,2,5,2.5,N
944,01/04/2019,19:25:57,3,17,63,Y,1,5,69,1,3.25,3.25,N
946,01/04/2019,12:04:37,3,17,563,N,1,1,47,2,6,3,N
948,01/04/2019,16:18:56,3,17,424,N,1,1,61,1,4.75,4.75,N
960,01/04/2019,14:07:56,3,12,382,Y,1,1,23,1,2.5,2.5,N
964,01/04/2019,12:33:20,3,12,608,Y,1,1,54,2,5,2.5,N
968,01/04/2019,18:22:07,3,17,497,Y,1,1,53,1,3,3,N
969,01/04/2019,15:19:19,3,17,313,N,1,1,43,1,3,3,N
984,01/04/2019,15:17:06,3,12,81,N,1,1,53,1,3,3,N
988,01/04/2019,16:58:33,3,12,384,Y,1,1,37,1,3,3,N
993,01/04/2019,13:42:10,3,12,398,N,1,1,43,1,3,3,N
994,01/04/2019,15:50:59,3,17,44,N,1,1,39,1,4.25,4.25,N
1000,01/04/2019,16:07:20,3,17,732,N,1,1,23,2,5,2.5,N
1010,01/04/2019,16:17:52,3,17,430,N,1,1,29,2,5,2.5,N
1014,01/04/2019,13:19:36,3,12,601,N,1,1,23,1,2.5,2.5,N
1015,01/04/2019,11:40:26,3,12,7,N,1,1,52,2,5,2.5,N
1017,01/04/2019,11:15:33,3,17,318,Y,1,1,54,1,2.5,2.5,N
1018,01/04/2019,19:39:00,3,17,467,Y,1,1,47,2,6,3,N
1023,01/04/2019,15:27:11,3,12,434,Y,1,1,58,2,7,3.5,N
1033,01/04/2019,14:53:00,3,12,781,N,1,1,43,1,3,3,N
1042,01/04/2019,19:45:16,3,12,316,N,1,1,41,1,4.25,4.25,N
1046,01/04/2019,19:38:00,3,12,399,N,1,1,33,1,3.5,3.5,N
1051,01/04/2019,19:04:14,3,17,403,Y,1,1,29,2,5,2.5,N
1052,01/04/2019,17:59:05,3,12,685,N,1,1,48,1,2.5,2.5,N
1057,01/04/2019,15:44:32,3,17,409,N,1,1,44,2,5,2.5,N
1057,01/04/2019,15:44:32,3,17,409,N,1,5,78,1,4.5,4.5,N
1064,01/04/2019,17:32:16,3,12,557,Y,1,1,38,2,7.5,3.75,N
1065,01/04/2019,12:33:35,3,17,231,Y,1,1,29,2,5,2.5,N
1071,01/04/2019,11:36:00,3,17,571,N,1,1,40,2,7.5,3.75,N
1072,01/04/2019,16:20:47,3,12,235,Y,1,1,41,1,4.25,4.25,N
1088,01/04/2019,15:59:51,3,17,226,N,1,1,50,2,5,2.5,N
1093,01/04/2019,16:03:30,3,17,745,N,1,1,34,2,4.9,2.45,N
1094,01/04/2019,15:01:50,3,12,355,Y,1,1,27,1,3.5,3.5,N
1095,01/04/2019,13:40:47,3,17,177,Y,1,1,54,2,5,2.5,N
1096,01/04/2019,17:15:12,3,12,379,N,1,1,59,1,4.5,4.5,N
1108,01/04/2019,11:36:56,3,17,654,Y,1,1,55,1,4,4,N
1114,01/04/2019,17:10:35,3,12,428,N,1,1,59,1,4.5,4.5,N
1116,01/04/2019,17:29:08,3,12,402,Y,1,1,37,1,3,3,N
1117,01/04/2019,18:10:03,3,12,179,Y,1,1,58,1,3.5,3.5,N
1120,01/04/2019,14:45:37,3,17,536,N,1,1,38,1,3.75,3.75,N
1123,01/04/2019,12:09:46,3,17,299,N,1,1,26,2,6,3,N
1125,01/04/2019,12:50:28,3,12,184,Y,1,1,32,2,6,3,N
1145,01/04/2019,12:13:07,3,12,328,N,1,1,42,1,2.5,2.5,N
1146,01/04/2019,17:22:36,3,17,574,N,1,1,36,1,3.75,3.75,N
1151,01/04/2019,13:41:09,3,12,337,N,1,1,42,2,5,2.5,N
1167,01/04/2019,17:51:22,3,12,5,N,1,1,53,1,3,3,N
1169,01/04/2019,13:52:28,3,12,669,Y,1,1,56,2,5.1,2.55,N
1169,01/04/2019,13:52:28,3,12,669,Y,1,5,70,1,3.25,3.25,N
1182,01/04/2019,19:18:58,3,12,80,Y,1,1,53,1,3,3,N
1185,01/04/2019,12:40:00,3,17,490,N,1,1,37,2,6,3,N
1185,01/04/2019,12:40:00,3,17,490,N,1,5,69,1,3.25,3.25,N
1187,01/04/2019,12:48:08,3,17,567,Y,1,1,38,2,7.5,3.75,N
1195,01/04/2019,11:50:23,3,17,222,Y,1,1,36,2,7.5,3.75,N
1198,01/04/2019,15:44:22,3,12,408,Y,1,1,38,2,7.5,3.75,N
1201,01/04/2019,16:56:48,3,12,85,N,1,1,28,1,2,2,N
1206,01/04/2019,15:52:23,3,12,540,N,1,1,29,2,5,2.5,N
1207,01/04/2019,12:36:17,3,12,55,N,1,1,40,2,7.5,3.75,N
1207,01/04/2019,12:36:17,3,12,55,N,1,5,71,1,3.75,3.75,N
1209,01/04/2019,17:29:25,3,17,2,Y,1,1,46,1,2.5,2.5,N
1209,01/04/2019,17:29:25,3,17,2,Y,1,5,75,1,3.5,3.5,N
1210,01/04/2019,19:41:15,3,12,135,N,1,1,51,1,3,3,N
1230,01/04/2019,15:27:54,3,12,227,N,1,1,56,1,2.55,2.55,N
1233,01/04/2019,15:42:49,3,17,305,N,1,1,40,1,3.75,3.75,N
1238,01/04/2019,12:43:33,3,17,453,Y,1,1,29,1,2.5,2.5,N
1247,01/04/2019,11:33:29,3,12,146,Y,1,1,45,1,3,3,N
1247,01/04/2019,11:33:29,3,12,146,Y,1,5,74,1,3.5,3.5,N
1257,01/04/2019,13:35:04,3,12,646,N,1,1,30,2,6,3,N
1261,01/04/2019,14:02:12,3,12,770,Y,1,1,49,1,3,3,N
1264,01/04/2019,14:55:34,3,17,97,Y,1,1,34,2,4.9,2.45,N
1271,01/04/2019,12:46:55,3,17,434,N,1,1,33,1,3.5,3.5,N
1271,01/04/2019,12:46:55,3,17,434,N,1,5,75,1,3.5,3.5,N
1278,01/04/2019,14:20:06,3,12,181,N,1,1,35,2,6.2,3.1,N
1279,01/04/2019,12:56:33,3,17,247,N,1,1,61,1,4.75,4.75,N
1285,01/04/2019,15:55:50,3,17,3,N,1,1,31,2,4.4,2.2,N
1286,01/04/2019,15:26:37,3,12,606,N,1,1,41,2,8.5,4.25,N
1288,01/04/2019,17:55:47,3,12,603,Y,1,1,59,2,9,4.5,N
1288,01/04/2019,17:55:47,3,12,603,Y,1,5,70,1,3.25,3.25,N
1291,01/04/2019,14:46:03,3,12,428,N,1,1,44,2,5,2.5,N
1291,01/04/2019,14:46:03,3,12,428,N,1,5,77,1,3,3,N
1293,01/04/2019,11:05:21,3,17,447,N,1,1,31,2,4.4,2.2,N
1296,01/04/2019,14:03:41,3,17,730,Y,1,1,32,1,3,3,N
1297,01/04/2019,15:57:47,3,17,672,Y,1,1,57,2,6.2,3.1,N
1298,01/04/2019,16:36:10,3,12,189,Y,1,1,28,1,2,2,N
1301,01/04/2019,18:22:53,3,17,169,Y,1,1,32,1,3,3,N
1301,01/04/2019,18:22:53,3,17,169,Y,1,5,79,1,3.75,3.75,N
1302,01/04/2019,19:12:14,3,17,18,Y,1,1,22,1,2,2,N
1320,01/04/2019,17:37:58,3,17,646,Y,1,1,31,2,4.4,2.2,N
1325,01/04/2019,12:03:43,3,17,477,Y,1,1,44,1,2.5,2.5,N
1332,01/04/2019,13:00:03,3,17,377,Y,1,1,36,2,7.5,3.75,N
1333,01/04/2019,18:25:51,3,12,258,Y,1,1,61,1,4.75,4.75,N
1334,01/04/2019,16:30:37,3,17,8,N,1,1,33,2,7,3.5,N
1343,01/04/2019,16:19:17,3,17,404,Y,1,1,56,1,2.55,2.55,N
1352,01/04/2019,14:37:23,3,12,369,Y,1,1,34,2,4.9,2.45,N
1355,01/04/2019,11:01:58,3,17,580,Y,1,1,38,1,3.75,3.75,N
1355,01/04/2019,11:01:58,3,17,580,Y,1,5,75,1,3.5,3.5,N
1359,01/04/2019,14:31:32,3,12,429,N,1,1,33,2,7,3.5,N
1362,01/04/2019,12:47:29,3,17,11,N,1,1,48,1,2.5,2.5,N
1364,01/04/2019,16:55:13,3,12,365,N,1,1,29,1,2.5,2.5,N
1364,01/04/2019,16:55:13,3,12,365,N,1,5,73,1,3.75,3.75,N
1367,01/04/2019,14:25:32,3,12,51,N,1,1,58,2,7,3.5,N
1371,01/04/2019,14:43:13,3,12,373,N,1,1,50,2,5,2.5,N
1380,01/04/2019,15:22:11,3,12,725,Y,1,1,39,2,8.5,4.25,N
1383,01/04/2019,18:42:04,3,12,656,Y,1,1,60,2,7.5,3.75,N
1384,01/04/2019,17:44:04,3,17,677,Y,1,1,47,2,6,3,N
1386,01/04/2019,15:36:03,3,17,441,N,1,1,52,1,2.5,2.5,N
1386,01/04/2019,15:36:03,3,17,441,N,1,5,79,1,3.75,3.75,N
1388,01/04/2019,14:17:29,3,17,101,N,1,1,26,1,3,3,N
1389,01/04/2019,11:14:45,3,17,212,Y,1,1,52,2,5,2.5,N
1391,01/04/2019,17:42:35,3,12,199,Y,1,1,24,1,3,3,N
1402,01/04/2019,16:12:12,3,17,230,Y,1,1,54,1,2.5,2.5,N
1402,01/04/2019,16:12:12,3,17,230,Y,1,5,76,1,3.5,3.5,N
1404,01/04/2019,11:40:20,3,12,534,Y,1,1,61,1,4.75,4.75,N
1406,01/04/2019,12:27:46,3,12,231,Y,1,1,59,1,4.5,4.5,N
1407,01/04/2019,19:57:56,3,12,448,Y,1,1,35,1,3.1,3.1,N
1416,01/04/2019,11:59:48,3,17,391,N,1,1,52,2,5,2.5,N
1417,01/04/2019,18:49:50,3,17,168,N,1,1,51,2,6,3,N
1419,01/04/2019,14:34:35,3,17,447,Y,1,1,52,2,5,2.5,N
1419,01/04/2019,14:34:35,3,17,447,Y,1,5,75,1,3.5,3.5,N
1430,01/04/2019,14:13:48,3,12,25,Y,1,1,61,1,4.75,4.75,N
1430,01/04/2019,14:13:48,3,12,25,Y,1,5,77,1,3,3,N
1436,01/04/2019,18:52:57,3,12,90,Y,1,1,59,2,9,4.5,N
1437,01/04/2019,17:25:45,3,12,677,Y,1,1,58,2,7,3.5,N
1447,01/04/2019,18:22:12,3,12,70,N,1,1,61,2,9.5,4.75,N
1459,01/04/2019,14:36:23,3,12,581,N,1,1,30,2,6,3,N
1461,01/04/2019,14:07:12,3,17,398,N,1,1,41,2,8.5,4.25,N
1475,01/04/2019,17:10:34,3,12,459,Y,1,1,27,1,3.5,3.5,N
1478,01/04/2019,13:31:51,3,12,744,Y,1,1,44,2,5,2.5,N
1480,01/04/2019,18:43:19,3,12,795,Y,1,1,57,1,3.1,3.1,N
1488,01/04/2019,19:41:22,3,12,265,N,1,1,35,2,6.2,3.1,N
1495,01/04/2019,13:04:51,3,12,72,N,1,1,22,1,2,2,N
1496,01/04/2019,19:34:12,3,17,133,N,1,1,48,1,2.5,2.5,N
1496,01/04/2019,19:34:12,3,17,133,N,1,5,70,1,3.25,3.25,N
1498,01/04/2019,16:52:57,3,12,710,N,1,1,45,2,6,3,N
1513,01/04/2019,19:25:50,3,17,448,Y,1,1,51,1,3,3,N
1513,01/04/2019,19:25:50,3,17,448,Y,1,5,70,1,3.25,3.25,N
1516,01/04/2019,19:47:17,3,17,414,Y,1,1,40,1,3.75,3.75,N
1516,01/04/2019,19:47:17,3,17,414,Y,1,5,78,1,4.5,4.5,N
1519,01/04/2019,13:01:30,3,12,65,N,1,1,39,2,8.5,4.25,N
1520,01/04/2019,18:41:01,3,12,396,Y,1,1,24,1,3,3,N
1521,01/04/2019,15:49:43,3,12,252,N,1,1,23,2,5,2.5,N
1526,01/04/2019,15:56:38,3,17,573,Y,1,1,42,2,5,2.5,N
